,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
186,Cyan Worlds,104257,Mixed or average reviews,9,"Adventure, 3D, First-Person, Fantasy, Fantasy",,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Mixed or average reviews,9.0
187,"Burut Software, Burut Creative Team",102014,Generally unfavorable reviews,5,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",,"Acclaim, Russobit-M",https://www.metacritic.com/company/acclaim,,Mixed or average reviews,14.0
188,Streko-Graphics Inc.,103710,Mixed or average reviews,26,"Adventure, 3D, First-Person, Fantasy, Fantasy",No Online Multiplayer,The Adventure Company,https://www.metacritic.com/company/the-adventure-company,E,Mixed or average reviews,18.0
189,Jarhead Games,103753,Mixed or average reviews,6,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",No Online Multiplayer,Groove Games,https://www.metacritic.com/company/groove-games,M,Generally unfavorable reviews,15.0
190,Ubisoft Shanghai,162235,Mixed or average reviews,25,"Action, Shooter, First-Person, Tactical, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Mixed or average reviews,6.0
191,Zombie,162099,Mixed or average reviews,45,"Action, Shooter, First-Person, Modern",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,14.0
192,NovaLogic,103316,Generally favorable reviews,30,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",64+ Players Online,NovaLogic,https://www.metacritic.com/company/novalogic,T,Generally favorable reviews,55.0
193,Starbreeze,162361,Generally favorable reviews,84,"Action, Shooter, First-Person, Sci-Fi",,VU Games,https://www.metacritic.com/company/vu-games,M,Generally favorable reviews,117.0
194,Delphieye,103023,Mixed or average reviews,4,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",,ValuSoft,https://www.metacritic.com/company/valusoft,M,Mixed or average reviews,10.0
195,Climax Group,103615,Mixed or average reviews,27,"Action, Shooter, First-Person, Sci-Fi",,Global Star Software,https://www.metacritic.com/company/global-star-software,M,Generally favorable reviews,26.0
196,People Can Fly,101890,Generally favorable reviews,62,"Action, Shooter, Shooter, First-Person, Fantasy, Fantasy, Arcade",,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,M,Generally favorable reviews,391.0
197,Climax Group,162348,Mixed or average reviews,18,"Action, Shooter, First-Person, Sci-Fi",,Global Star Software,https://www.metacritic.com/company/global-star-software,M,Generally favorable reviews,14.0
198,Climax Group,162396,Mixed or average reviews,9,"Action, Shooter, First-Person, Sci-Fi",,Global Star Software,https://www.metacritic.com/company/global-star-software,M,Generally favorable reviews,12.0
199,Hexagon Entertainment,103073,Generally unfavorable reviews,10,"Adventure, 3D, First-Person, Fantasy, Fantasy",,The Adventure Company,https://www.metacritic.com/company/the-adventure-company,E,Generally unfavorable reviews,8.0
200,Brat Designs,101471,Mixed or average reviews,24,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,cdv Software,https://www.metacritic.com/company/cdv-software,M,Mixed or average reviews,36.0
201,Ubisoft Shanghai,103308,Mixed or average reviews,34,"Action, Shooter, First-Person, Tactical, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Generally favorable reviews,19.0
202,369 Interactive,103567,Mixed or average reviews,28,"Adventure, First-Person, Point-and-Click, Modern, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Generally favorable reviews,21.0
203,Crytek,101300,Generally favorable reviews,72,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",No Online Multiplayer,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Generally favorable reviews,1194.0
204,Human Head Studios,103561,Mixed or average reviews,15,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Mixed or average reviews,11.0
205,Red Storm Entertainment,103400,Mixed or average reviews,31,"Action, Shooter, First-Person, Tactical, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,25.0
206,Epic Games,103158,Universal acclaim,48,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,"Atari, Atari SA",https://www.metacritic.com/company/atari,M,Generally favorable reviews,801.0
207,Digital Illusions,103231,Generally favorable reviews,48,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,194.0
208,Ubisoft Milan,103152,Mixed or average reviews,16,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Mixed or average reviews,20.0
209,GSC Game World,102177,Mixed or average reviews,14,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,Hip Games,https://www.metacritic.com/company/hip-games,M,Mixed or average reviews,13.0
