,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
714,EA Tiburon,163012,Generally favorable reviews,14,"Sports, Traditional, Football, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,6
715,Exient Entertainment,163029,Mixed or average reviews,4,"Sports, Traditional, Football, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,5
716,EA Sports,107920,Generally favorable reviews,43,"Sports, Traditional, Team, Football, Sim, Sim",2 Players 2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,22
717,EA Sports,107921,Generally favorable reviews,18,"Sports, Traditional, Football, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,25
718,EA Sports,163013,Generally favorable reviews,20,"Sports, Traditional, Football, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,10
719,EA Sports,108031,Generally favorable reviews,16,"Sports, Traditional, Team, Football, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,12
720,Mud Duck Productions,163019,Generally unfavorable reviews,5,"Sports, Alternative, Bowling",,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,E,Mixed or average reviews,4
721,SCEE London Studio,108125,Mixed or average reviews,44,"Sports, Traditional, Team, Soccer, Sim, Sim",4 Players Online,SCEA,https://www.metacritic.com/company/scea,E,No user score yet,
722,EA Tiburon,162957,Mixed or average reviews,26,"Sports, Traditional, Football, Management",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,9
723,EA Tiburon,107478,Mixed or average reviews,22,"Sports, Traditional, Football, Management",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,15
724,EA Tiburon,107479,Mixed or average reviews,19,"Sports, Traditional, Team, Football, Management, Management, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,5
725,"Atomic Planet Entertainment, Mud Duck Productions",107938,Generally unfavorable reviews,4,"Sports, Alternative, Bowling",,Mud Duck Productions,https://www.metacritic.com/company/mud-duck-productions,E,Generally unfavorable reviews,5
726,Kush Games,162974,Mixed or average reviews,8,"Sports, Traditional, Baseball, Sim",,2K Sports,https://www.metacritic.com/company/2k-sports,E,No user score yet,
727,Black Ops Entertainment,106094,Mixed or average reviews,29,"Sports, Traditional, Basketball, Arcade",2 Players Online,Ubisoft,https://www.metacritic.com/company/ubisoft,E10+,Generally favorable reviews,30
728,Black Ops Entertainment,162761,Generally unfavorable reviews,22,"Sports, Traditional, Basketball, Arcade",2 Players Online,Ubisoft,https://www.metacritic.com/company/ubisoft,E10+,Generally favorable reviews,14
